Defining model
Only Conv model trained
Number of epochs 200
epoch-> 0
Iteration-> 301  , Iteration_time-> 1.4732 , Iteration_loss 0.1068
Iteration-> 302  , Iteration_time-> 1.4830 , Iteration_loss 0.1067
Iteration-> 303  , Iteration_time-> 1.5122 , Iteration_loss 0.1067
Iteration-> 304  , Iteration_time-> 1.5282 , Iteration_loss 0.1066
Iteration-> 305  , Iteration_time-> 1.4819 , Iteration_loss 0.1065
Iteration-> 306  , Iteration_time-> 1.4941 , Iteration_loss 0.1065
Iteration-> 307  , Iteration_time-> 1.5027 , Iteration_loss 0.1068
Iteration-> 308  , Iteration_time-> 1.4832 , Iteration_loss 0.1065
Iteration-> 309  , Iteration_time-> 1.5155 , Iteration_loss 0.1065
Iteration-> 310  , Iteration_time-> 1.4627 , Iteration_loss 0.1065
Iteration-> 311  , Iteration_time-> 1.4836 , Iteration_loss 0.1064
Iteration-> 312  , Iteration_time-> 1.5415 , Iteration_loss 0.1064
Iteration-> 313  , Iteration_time-> 1.5033 , Iteration_loss 0.1064
Iteration-> 314  , Iteration_time-> 1.4802 , Iteration_loss 0.1064
Iteration-> 315  , Iteration_time-> 1.4505 , Iteration_loss 0.1064
Iteration-> 316  , Iteration_time-> 1.5226 , Iteration_loss 0.1063
Iteration-> 317  , Iteration_time-> 1.5084 , Iteration_loss 0.1065
Iteration-> 318  , Iteration_time-> 1.4986 , Iteration_loss 0.1064
Iteration-> 319  , Iteration_time-> 1.5124 , Iteration_loss 0.1063
Iteration-> 320  , Iteration_time-> 1.5207 , Iteration_loss 0.1062
Iteration-> 321  , Iteration_time-> 1.4869 , Iteration_loss 0.1062
Iteration-> 322  , Iteration_time-> 1.5008 , Iteration_loss 0.1063
Iteration-> 323  , Iteration_time-> 1.4755 , Iteration_loss 0.1061
Iteration-> 324  , Iteration_time-> 1.4694 , Iteration_loss 0.1061
Iteration-> 325  , Iteration_time-> 1.4749 , Iteration_loss 0.1064
Iteration-> 326  , Iteration_time-> 1.4716 , Iteration_loss 0.1062
Iteration-> 327  , Iteration_time-> 1.4819 , Iteration_loss 0.1061
Iteration-> 328  , Iteration_time-> 1.4896 , Iteration_loss 0.1062
Iteration-> 329  , Iteration_time-> 1.5390 , Iteration_loss 0.1060
Iteration-> 330  , Iteration_time-> 1.4577 , Iteration_loss 0.1062
Iteration-> 331  , Iteration_time-> 1.4336 , Iteration_loss 0.1062
Iteration-> 332  , Iteration_time-> 1.4760 , Iteration_loss 0.1060
Iteration-> 333  , Iteration_time-> 1.4670 , Iteration_loss 0.1059
Iteration-> 334  , Iteration_time-> 1.4942 , Iteration_loss 0.1061
Iteration-> 335  , Iteration_time-> 1.4840 , Iteration_loss 0.1058
Iteration-> 336  , Iteration_time-> 1.4799 , Iteration_loss 0.1061
Iteration-> 337  , Iteration_time-> 1.4928 , Iteration_loss 0.1058
Iteration-> 338  , Iteration_time-> 1.4769 , Iteration_loss 0.1059
Iteration-> 339  , Iteration_time-> 1.4825 , Iteration_loss 0.1059
Iteration-> 340  , Iteration_time-> 1.4901 , Iteration_loss 0.1060
Iteration-> 341  , Iteration_time-> 1.4958 , Iteration_loss 0.1059
Iteration-> 342  , Iteration_time-> 1.4960 , Iteration_loss 0.1059
Iteration-> 343  , Iteration_time-> 1.4410 , Iteration_loss 0.1058
Iteration-> 344  , Iteration_time-> 1.4560 , Iteration_loss 0.1057
Iteration-> 345  , Iteration_time-> 1.4488 , Iteration_loss 0.1059
Iteration-> 346  , Iteration_time-> 1.4981 , Iteration_loss 0.1056
Iteration-> 347  , Iteration_time-> 1.4644 , Iteration_loss 0.1058
Iteration-> 348  , Iteration_time-> 1.4577 , Iteration_loss 0.1056
Iteration-> 349  , Iteration_time-> 1.5074 , Iteration_loss 0.1057
Iteration-> 350  , Iteration_time-> 1.4829 , Iteration_loss 0.1058
Iteration-> 351  , Iteration_time-> 1.4771 , Iteration_loss 0.1057
Iteration-> 352  , Iteration_time-> 1.4559 , Iteration_loss 0.1056
Iteration-> 353  , Iteration_time-> 1.4560 , Iteration_loss 0.1056
Iteration-> 354  , Iteration_time-> 1.4506 , Iteration_loss 0.1058
Iteration-> 355  , Iteration_time-> 1.4915 , Iteration_loss 0.1057
Iteration-> 356  , Iteration_time-> 1.4787 , Iteration_loss 0.1056
Iteration-> 357  , Iteration_time-> 1.4730 , Iteration_loss 0.1056
Iteration-> 358  , Iteration_time-> 1.4977 , Iteration_loss 0.1056
Iteration-> 359  , Iteration_time-> 1.5033 , Iteration_loss 0.1057
Iteration-> 360  , Iteration_time-> 1.4758 , Iteration_loss 0.1056
Iteration-> 361  , Iteration_time-> 1.4814 , Iteration_loss 0.1057
